word,weight
almost,0.984251968503937
alterations,0.9993438320209974
ambiguous,0.9993438320209974
anticipated,0.9980314960629921
anticipates,0.9973753280839895
anticipating,0.9973753280839895
anticipation,0.9993438320209974
apparent,0.9973753280839895
apparently,0.9980314960629921
appear,0.9829396325459318
appeared,0.9993438320209974
appearing,0.9986876640419947
appears,0.984251968503937
arbitrarily,0.9993438320209974
arbitrary,0.9993438320209974
assumes,0.9993438320209974
assuming,0.9980314960629921
assumptions,0.9993438320209974
believe,0.9967191601049868
believed,0.9960629921259843
believing,0.9993438320209974
cautious,0.9855643044619422
cautiously,0.9940944881889764
clarification,0.9973753280839895
conditional,0.9993438320209974
confuses,0.9973753280839895
confusing,0.9973753280839895
confusion,0.9803149606299213
contingency,0.9993438320209974
could,0.8110236220472441
crossroad,0.9986876640419947
crossroads,0.9967191601049868
depend,0.9973753280839895
dependence,0.9993438320209974
dependency,0.9993438320209974
dependent,0.9993438320209974
depends,0.9934383202099738
differ,0.9934383202099738
doubt,0.9862204724409449
doubtful,0.9980314960629921
doubts,0.9783464566929134
exposure,0.994750656167979
fluctuations,0.9986876640419947
hidden,0.984251968503937
hinges,0.9980314960629921
imprecise,0.9993438320209974
improbable,0.9986876640419947
indefinite,0.9993438320209974
inexact,0.9993438320209974
instability,0.9980314960629921
likelihood,0.9993438320209974
may,0.5400262467191601
maybe,0.9671916010498688
might,0.9573490813648294
nearly,0.958005249343832
pending,0.9980314960629921
perhaps,0.9921259842519685
possibilities,0.9973753280839895
possibility,0.9993438320209974
possible,0.9553805774278216
possibly,0.9973753280839895
predict,0.9980314960629921
predictability,0.9993438320209974
predicted,0.9973753280839895
prediction,0.9973753280839895
predictions,0.9901574803149606
predictor,0.9993438320209974
predictors,0.9993438320209974
predicts,0.979002624671916
preliminary,0.9973753280839895
presume,0.9993438320209974
probabilities,0.9993438320209974
probably,0.9888451443569554
random,0.9908136482939632
reassesses,0.9993438320209974
reassessing,0.9993438320209974
reconsider,0.9986876640419947
reconsidered,0.9986876640419947
reconsidering,0.9993438320209974
reconsiders,0.9993438320209974
revise,0.9973753280839895
revised,0.9940944881889764
risk,0.9265091863517061
risked,0.9993438320209974
riskier,0.9960629921259843
risking,0.9986876640419947
risks,0.9540682414698163
risky,0.9888451443569554
roughly,0.9980314960629921
rumors,0.9954068241469817
seems,0.9829396325459318
seldom,0.9993438320209974
sometimes,0.9849081364829396
somewhat,0.9993438320209974
somewhere,0.9993438320209974
speculating,0.9993438320209974
speculation,0.9934383202099738
sudden,0.9967191601049868
suddenly,0.9888451443569554
suggest,0.9914698162729659
suggesting,0.9986876640419947
suggests,0.9678477690288714
tending,0.9986876640419947
tentative,0.9835958005249343
tentatively,0.9986876640419947
turbulence,0.9934383202099738
uncertain,0.9888451443569554
uncertainties,0.9993438320209974
uncertainty,0.9770341207349081
unclear,0.9908136482939632
undocumented,0.9967191601049868
unexpected,0.9908136482939632
unexpectedly,0.994750656167979
unfamiliar,0.9993438320209974
unknown,0.9954068241469817
unknowns,0.9993438320209974
unpredictability,0.9986876640419947
unpredictable,0.9967191601049868
unproven,0.9986876640419947
unseasonably,0.9986876640419947
unsettled,0.9986876640419947
untested,0.9993438320209974
unusual,0.9868766404199475
unusually,0.9973753280839895
vague,0.9960629921259843
variable,0.9986876640419947
variant,0.9993438320209974
variation,0.9980314960629921
variations,0.9993438320209974
varied,0.9973753280839895
varies,0.9993438320209974
vary,0.9960629921259843
varying,0.9986876640419947
volatile,0.994750656167979
volatility,0.9914698162729659
